texto,respuesta
"Just an FYI: I’ve now had both England and France suggest to me that I should move to Tyrolia and France will support me to Munich in the Fall. One saying that to me is not a big deal, but with both mentioning it, my alarm bells are going off. I am concerned about an E/F. 

I’m certainly not moving to Tyrolia. But I just want you to be cautious here. I feel like England and France are working together.",1
"I appreciate the tip, but I'm wondering why you're so against ousting me from Munich if I haven't explicitly agreed to be your ally?",1
"Because it is terrible, terrible play for Italy to attack Germany, in my view. If I were to attack you in Munich, I could never hold Munich. So, all I would be doing is weakening you, and helping France, England, or both to get really big. 

I don’t have any long-term path going north. Helping France to take you down is a sucker’s play, whether you are working with me or not.",1
"Did France tell you he was moving to Burgundy, or was that a stab?",1
"I was not informed of it, no. And England is leading me to believe it's part of a play for Belgium, so if they're working together this might be a trick...

Italy, you seem like a straight shooter, and Austria has confirmed with me about your two's alliance. So I'll confide in you--this is my first ever game of diplomacy, and I think that teaming up with the two of you could help me learn more and have more fun. So, if you're still interested in a central powers alliance, I'm in.",1
"Okay full disclosure: I'm not very smart, and I accidentally let slip to England that you told me France was plotting to take Munich. I'm sorry for the error but I figured it was better to admit it so you know that England/France may not trust you.",1
"Okay, thanks for telling me.",1
"So, um, no alliance then?",1
"I do want to be allies. Sorry, busy weekend here running around with bambinos. More to come.",1
What would you think of helping me take Marseilles in two turns?,1
"Hi Germany, I’ll certainly consider that. Though, I’ll note: traditionally, Germany would help Italy to Marseilles if the two of them work together there. The reason is that: if I help you to Marseilles, I’m basically cut off from going west and getting anything myself. So, usually, Germany would help Italy into Marseilles to encourage Italy to come west and Germany would plan to take Paris, Belgium and Brest.",1
"Fair enough--I'll help you take it, then, but I'll need to deal with Belgium first.",1
How are things going with England? I think that getting him to work with you is the main key here.,1
I'm trying--I just offered to assist with taking Sweden in exchange for some assistance into Belgium...not sure if they'll go for it...,1
I’ll check with England and try to see where his head is at.,1
I've actually been thinking about this game all day 😅  and have come up with a plan I like a bit better... but England still hasn't responded to my initial offer.,1
"That’s the worst!

And I’m glad to see you’re so focused on this in your first game. It’s a really great game if you put in the time and effort!",1
You're definitely telling the truth on that one. So can I count on you to move to piedmont this season?,1
"I don’t think I can afford to move to Piedmont this season. I don’t really trust Austria to avoid walking through that door if I leave it wide open. 

I think you need to get England on board to attack France.",1
"That's valid. And actually I was conferring with England and we concluded that it's not really gonna be possible for me to help you take Marseilles this year anyway. 

...what are you and Austria planning for this year, then? I'm willing to tell you my plans in exchange as a gesture of trust. 

Have you communicated at all with England or France?",1
"Hi, are you there?

Just woke up. 

England did return my message, but he did not tell me anything substantive so I really don’t know what he’s doing. I’m planning to move towards Turkey.",1
"Well, you’re in trouble. That England move is trouble. 

I’m going to try to convince him to change course. I suggest you be very kind to him, and don’t burn that bridge. I think your game hinges on turning England around.",1
"Hi Germany,

I’m working hard on turning England. And I’m also trying to get Russia to come to your aid. Doing the best I can! I’ll keep you posted.",1
"England just told me that Russia is helping them to take Denmark so that may be a lost cause. Granted, the source for that intel is a serpentine jackal-spawn",1
"Okay, I’m reasonably sure that England wants to take the Channel and attack France now. 

I believe that you should basically do whatever England asks to help make this happen. As long as E attacks F, you will be in a much better position, and you’ll gain back centers quickly. 

What are you hearing?",1
"What are your plans for this turn? I can't help but notice that Munich is surrounded by foreign armies on three sides...

I wish I could be more helpful but I'm pretty much just treading water right now trying not to lose anything else",1
"Hey — sorry, just getting back into this now.",1
"I have good news! (1) I am finally attacking France this turn. (2) I will be supporting Munich to hold from Tyrolia. 

Let’s turn this game around, yes?",1
I am pretty sure that England is not attacking you this turn. And I am committed to supporting Munich holding. Make sure you don’t move Munich so that it can take my support.,1
"Okay, can do. Thanks!",1
"I suggest that you order:
Kiel Support Berlin holding
Berlin Support Munich holding
Helg to Holland
Munich Support Berlin holding",1
I agree completely--although I didn't know that a country could hold *and* support at the same time! Thanks!,1
Thanks Italy. Hope you're enjoying the weather on the Anatolian 😉,1
I will be supporting Munich to hold again. And I’ll be trying to get Russia to back off your flank and protect himself against an Austrian stab that is coming.,1
"Two bits of advice: #1 I suggest you tell Russia that Austria is coming for him. You really want Russia to move Sil back to Gal. You might also suggest to Russia that is he supports you to Denmark, you will then support Russia back to Sweden. I don’t know yet if it actually makes sense to do that, but you want Russia thinking that you are eager to work with him. He’ll be hoping for a reason to break off his attack on you at this point.",1
"#2 Here is the move set I would suggest right now:
Kiel Support Holland holding
Holland Support Wales to Belgium (tell England you are going to order this support and he can take it or leave it)
Munich Support Berlin holding
Berlin Support Munich holding

I think that both France and Russia are about to back off you, as they are both under fire at home. Just hold still, and soon you should be able to break out of this holding pattern.",1
"God, I hope so! I'm attempting to make that deal with russia now...and I'm talking with England re: Belgium",1
"It’s none of my business, but if you do plan to take Denmark, I strongly recommend you wait until Fall. I think the most important thing for you right now is getting England fully committed against France. If that happens, taking Denmark later will be easy.",1
"I think me and England are really on the same page at this point regarding France. I'm actually sort of running counter-intelligence for England (and my friends to the south, of course!) with Russia right now. 

England and I talked about Denmark too...and it seems like one or the other of Denmark or Belgium should work out for me this year and I'm fine with that",1
Great to hear. Thank you.,1
"Do you need me to disrupt Bur this year? I'll need to seriously trust Russia if I'm going to risk not holding my eastern front, I think...",1
"I do think a move to Burgundy makes sense for you this turn, and I can’t imagine Russia attacking you here. He has a serious Austria problem. 

I suggest this:
Mun - Bur
Ruh - Bel
Hol Support Ruh - Bel 
Ber - Kie

Tell Russia that the last thing in the world you want to see is Austria run him over, and you’re willing to help keep Russia viable if necessary (you’re angling for Russia to disband his northern holdings this turn).",1
"And ask England nicely to support Ruh - Hol, with the explanation that you don’t plan to ask for Denmark back, but you think it would help you both to diminish France. (You’ll get Den back eventually, but you want England to think you don’t care about it).",1
"Thanks, I'll work on these. 
...Why didn't you scooch into the Aegean behind Austria? You could have defended or even held Bulgaria this turn?",1
"England and I were talking about your moves for this season--what do you think of convoying Pie into Spa, supporting this with Wes, and then moving Tyr into Pie?",1
"This leaves Marseilles open for Bur to fall into if France goes that route, which gives me an opening into Bur",1
That’s not bad.,1
I was kind of thinking I should pick one or the other of Marseilles or Spain to attack and not tell a soul which one I’m going after.,1
Do you really think it’s important to coordinate?,1
I do think you’re best off moving to Burgundy. And there is some chance that we fail this turn. But I think we just take a guess and hope for the best. We’ll get him next turn if not this one.,1
Okay—sorry for being nosy! I will try for bur on the off chance it shakes out that way,1
"Nah, you’re not being nosy at all. I mean, come on, we both know that I have no problem sticking my nose where it doesn’t belong.",1
Marked as true,1
"I like to coordinate, but on these sort of 50/50 guesses, I kind of like to keep it secret so that if it doesn’t go well, I have nobody to blame but myself.",1
Ha!,1
"Well, are you willing to humor my question about the Aegean, anyway?",1
"Sure. I was thinking of moving that fleet to Ionian. You think a move to Aegean is better? I’m not really sure, but let’s talk it through.",1
"No sorry I meant in hindsight--like this past turn you should have moved to Aeg so that this current turn, when Austria takes Rumania (from Bulgaria), you'd be there to cover Bulgaria so it couldn't get scooped by the Black sea, and potentially you'd just get to take it.",1
Not a bad point. I agree.,1
"Hmmmm, kind of a pointless lie if you ask me, but I won’t hold it against you. You’re in a tough spot.",1
um what lie? I did exactly the moves you suggested!,1
Ha! So sorry!! I meant that for France!,1
You are my favorite.,1
"Marked as lie because clearly austria is your favorite.
Speaking of, I assume that your seizing Trieste was mutually agreed upon?",1
Yes — agreed upon.,1
That's not what Austria said to England...,1
"Hmmmm, okay. Well, let’s just keep that between you and me then. 🤦‍♂️",1
"You know italy, I think we *do* need to coordinate your move this time--England and I have a shot at either Bur or Mao if one of Marseilles or Spain can be left open for France to fall into. This will improve all of our chances of crushing France quickly.",1
"Okay, I can dig it. What do you want me to do?",1
Let me confer with England and get back to you. Glad to hear that though!,1
So...any thoughts on how to approach this?,1
"It looks like England's not willing to try for MAO if it means possibly losing the channel. However, they'll bring the NWG fleet around to try for MAO next year. 
So if you could keep Marseilles open, it will help me to try and take Burgundy this turn.",1
"If I leave Marseilles open, would you kindly use Burgundy in the Fall to help me take Marseilles? (Likely that means ordering Burgundy to Gascony to cut support)",1
Will do.,1
"Okay, so I still have a teensy little bone to pick with you: on the off-chance that Austria wasn't lying and you *did* take Trieste unexpectedly, I sort of worry that I might be next. Are you willing to tell me what your plans are for the Tri unit, or at least to warn me before any move into Tyrolia?",1
"Sure. But, you’ll see from my moves this turn that Austria is lying to you.",1
I currently have Tri - Tyrolia. I like the unit there because it sets up an attack on Austria if I ever want to go that route (build A Ven and go east). Do you want me to keep Tyrolia clear?,1
I’ll add — I would never attack Germany as Italy. Setting myself as a giant column like that is just not defensible. It would be a terrible move.,1
Not when that column is not-so-giant and in a turf war with France.,1
oh you mean setting *yourself*,1
"But you could easily pick off, say, Munich and not be a ""giant column""",1
"I mean this sincerely: any Germany who does that is a terrible player. 

Why would I do that? I would need 2-3 units to hold one center. That is a net negative. And all of your units are doing things that are good for me in containing your neighbors. 

I’ve been working hard in this game for you to succeed and knock back France and England. I can say with 100% certainty: I’m not going to attack you. I’m going to keep helping you as much as I can.",1
"That said, if you want me NOT to move to Tyrolia, I won’t move there.",1
"Nah, I just needed some reassurance :)
Your logic is undenyable— enjoy your stay in tyr!",1
*undeniable? That looks better,1
"I mean it sincerely. I think that England will want to coax me to attack you with him after France falls, but I’d much rather work with you against England. 

But first thing’s first — let’s get rid of France.",1
Agreed,1
(On the france part),1
Sorry I won't be able to cut off Gascony this turn...I probably should have just told you my moves; you could have advised me that supporting Mun-Bur was more important than Kie-Ruh,1
"No worries. We’ll crack this but eventually. 

Here is my suggestion for this turn:
Kie - Den
Hol S Bel holding
Bel S Ruh - Bur
Mun S Ruh - Bur
Ruh - Bur",1
"I think you should suggest to England that he gets Sweden and St Petersburg, while you get Denmark back. That’s only fair, as you have been a loyal ally in the fight against France and you plan to continue to do that.",1
"The moves I had already planned differ in one respect: I thought it would be worth the risk to try moving Hol-Bel and therefore move Bel-Bur. Even if me and France are high-fiving in Bel for a few seasons it's still mine, and it's not like Holland has anything better to do while I'm still allies with England.

...The only reason I'm reluctant to make that agreement with England is that---while I think *you* and I have a good relationship---I really have not talked with Austria much at all, and I'm the next logical target for them when Russia's gone. And anything that's bad for Russia right now is good for Austria.",1
"Hmmmm, I’m just not sure you should trust England enough right now to leave Holland open and Belgium essentially unguarded. 

France is a really good player, and he is no doubt working hard to get England to turn on you. My personal take is that you are better off being a bit more conservative until you have Denmark back and England has moved another fleet towards France. But I can see it either way.",1
"With regard to Russia, talk it through with England. What you don’t want is England taking out Russia and giving you nothing. So, if England agrees to let Russia be for a while, then your plan sounds good. But if England is going to take Sweden, you really should get Denmark back. (I’m my view)",1
"Okay you've convinced me: it's worth figuring out what E's plans are for Russia at least.

And you're almost certainly right, from a rational perspective, about leaving Holland/Belgium vulnerable to England. But I think England really is counting on my assistance in taking France, and because of that and other non-quantifiable reasons I trust them.",1
"Excellent. Obviously you have a much better feel for your relationship with England than I do. Just know that France is persuasive, and I’m sure that’s what he’s working on. He stopped talking to me, so I bet he’s trying to turn England. Just keep reassuring England that you want to work with him long-term so he doesn’t succumb to the Dark Side.",1
"Hi Germany — well, I think we’re getting to a critical point in the game here. France held out a long time, but he’s much less of a threat now. I think the critical issue, for you, is England. 

I have some thoughts on the matter, and some information, but I’d like to feel confident that you and I will keep anything we say between us. I think of you as the one person who has been honest with me on every turn. You even tell me the truth when it’s bad news, or when you don’t completely trust me, and I like that.",1
"Okay, Italy. I won't share any of this conversation. But in the interest of continued full disclosure, here's what I think: England is a greater threat to *me* on the map, but *you* have a greater chance of soloing this game quickly, or pair-winning with Austria even sooner. And if I continue to collaborate with England, we at least have a chance of slowing that down. So I'm in sort of a conflicted spot",1
This is why I like you. The full disclosure part. You tell me the truth even when the news isn’t great.,1
"My thoughts on the “Germany/England forever so that at least we can stop the solo” strategy: (1) It’s quite early to be talking about solos. I am at 8, and Austria could take 3 from me any time, quite easily. (2) I don’t think England is thinking that way. I think he’s thinking that a dominant power will emerge in the north, and one will emerge in the south. And he’s like to be that dominant power.",1
"England’s pieces are not positioned well if he’s trying to attack France or contain Italy. He keeps Denmark guarded, and North Sea filled. He is not playing like he intends to stick with you, even though I’m sure he’s telling you that.",1
"You’re right that you don’t want to start a war with England right now. But, you must stick up for yourself, because nobody else will do that if you don’t.",1
"If I were you, this is what I would do: (1) keep warning England about the dangers of Italy getting too big and insist that England moves his fleets towards MAO (Channel to Irish, Norwegian to NAO, North - Channel), (2) insist on taking Denmark back.",1
"I would say something like this:

England, I’m with you my friend, but we’re passed the stage of you needing to keep me under lock and key. I need to take Denmark back. I’m happy to support you to Brest to keep you growing, or you can grab Sweden. You have plenty of options other than keeping your ally’s center, but if you really want to be my ally long-term, you’ve got to show me that.",1
I am hearing from England signs that he may be thinking of attacking you soon. And I think you actually avoid that better by being strong and sticking up for yourself rather than being accommodating and letting him do whatever he wants to do.,1
"Well, both you and France have now pointed out that England is strategically not in a good place to be my ally right now, and you are correct. I'll be more cautious with my northern border, but I made a pretty strong argument for denmark this past turn and it fell on deaf ears",1
...which probably also should have been a sign for me,1
"Well, if you want, you could just take Denmark this next year and I don’t think England is in a position to retaliate.",1
Probably not...has France been talking with you at all about their sunsetting strategy? They've indicated a willingness to work with you and me and a desire to see England get as few dots as possible,1
"He did say that to me too. Though, France has a long history of lying to me, so I really don’t trust him.",1
"Well France has actually been pretty honest with me, and I at least am certain that they wouldn't betray me to England. So, I'm considering working with F to sabotage (or potentially full-on backstab) England this turn, which would have the side-effect of maybe taking some attention away from the south for you anyway.",1
(and I'd be interested to hear your thoughts on this if you're in the mood to give out free advice),1
"Hi Germany — sorry for the delay. Well...I think it’s really important that you get a build this turn either way. I don’t think England will get a build this turn, so if I were you I’d probably take Paris, build a fleet, and move on England after that.",1
"But it likely depends on how communication is going with England. If he’ll give you back Denmark, that might change the equation.",1
I am waiting on England to make a decision about that--they claim to be thinking about it.,1
England told me you said I was plotting with France. It makes sense you’d want to pit us against each other.,1
Hey — tried to send you a message earlier but not was down. England was telling me that you’re saying that I told you that England is plotting against you. The problem with telling England that is that he will stop giving me useful info.,1
"Truly, I don’t want you and England to fight. I am not trying to break you up. I suggested that you take Paris! I want you guys to work together with me against France.",1
"You don't want us to fight, yet you betrayed both of our confidence with you in a way that makes us distrust each other?",1
I really don’t think that’s a fair description. You guys both wanted to attack each other. I encouraged you both to keep working together.,0
Just as long as it suits you. Are you going to give England Mao?,1
"Hmmm, should I be reading that as angry sarcastic with dagger eyes? (I’m not sure if I’m getting your tone right)",1
"We’re friends, right? I believe that every single message I’ve sent you all game has been truth, and I’ve gone out of my way to give you candid advice. Are we still friends?",0
Regarding MAO — I don’t know. What do you want me to do? I don’t have any set plan.,1
"Yep, there's some sarcasm there. Looking back at your messages, I still don't read them as encouraging collaboration. And if you wanted us to be friends, you could have done that without betraying me to England by simply saying in your candid way ""I don't think you should do that for such and such reason"". But you chose to increase E's distrust of me. So I think you might be full of gnocchi and crap. 

My trust in you is a bit shaken but I still think we can have a working partnership with a bit more caution on my end. It would be my preference that you hold Mao, on the assumption that if it came down to a choice between partnering with me or England, you'd choose me. If that's not the case, then as the filling of an England-Italy sandwich I'm in no position to retaliate anyway.",1
"Well, again, I like that you’re honest with me, even when the news is bad.",1
"I have to say that I’m surprised that you feel that I’ve betrayed your trust. I have been feeling like maybe I’ve been TOO helpful to you, and been a bit over the top in offering advice, etc., but it seems like I’ve misread the situation.",0
"No, it's completely true that you've been too helpful, and I'm really really grateful for it because I've been able to learn so much from this game. But it's also true that you didn't have to tell England what you did, and all you stood to gain from it was that it shook my and E's trust in each other.",1
"But I understand what you’re saying, and I much prefer to have a heart to heart like this, a frank airing of grievances, rather than being surprised by unkind moves on the board. https://youtu.be/xoirV6BbjOg",1
Was not expecting seinfeld today and it was a pleasant surprise,1
🤗,1
Here’s the deal: I like you better than England.,0
"I’m not sure how the next couple of turns are going to shake out. But I like that you tell me when you’re angry with me. I know that may seem like a small thing, but it’s just rare in Diplomacy. You get so many fake smiles.",1
"So, if it comes down to you or him, I’m choosing you. And I’ll work to do a better job of keeping your confidence. I certainly understand how important that is, as I hate it when people o that same thing to me.",1
So no more playing mediator for me.,1
Okay. Is it true that you want the channel?,1
And are you planning to keep Vienna?,1
I am not planning to keep Vienna. And yeah I’ve asked France for support to the Channel. Do you think he’s on board?,1
I'm not sure. Is *England* on board? Is this something England can know about?,1
"No, do you think France will Support me to the Channel?",1
"France has asked my opinion on it, and I haven't given it yet. To my estimation things look a lot better for me if you don't end up there: I don't want to see England in Mao, and I don't want to see you snagging pieces of the north.",1
"Okay, well, here is my thinking. Tell France whatever you want to make him happy. Then tell me how you really feel. And if you don’t want me to go there, I won’t go there.",1
"If I hadn't asked you about it, would that have just been another surprise, too?",1
"Absolutely. 

You and I have discussed our moves and been honest with each other every turn. But we have not been sharing all our moves or pre-clearing all of our moves. So that would have Ben a surprise in the same way that your moves are a surprise to me. (I never tell you what to do or insist on knowing).",1
"I kind of thought that you would have wanted me in the Channel because it commits me further against England, but I can understand what you’re saying now about wanting me to hang back.",1
"But I don’t think there is anything wrong with me contemplating moves without telling you all of them. You asked me about it, and I told you the truth.",0
"I do think that this move is a breach of general expectation, which is the kind of thing I'd like to know about. And it's also the kind of thing I've shared with you: case in point, my desire to stab England.",1
Okay. Understood.,1
"Is there anything I could gain from seeing you in the channel? Would you support me taking Nth, and potentially seizing the island?",1
"Here's what I'm thinking: I would be on board with you taking the channel (and I'd give France the green light to go ahead with it) if you would agree to bump Nao out of Mao using Wes, and if you'd be open to supporting some anti-English aggression while holding the channel so that I can get on equal footing with you, dot-wise.

If you don't want to agree to those terms, that's okay, but I would strongly prefer not to see you in the channel in that case.",1
"I’m going to be out of pocket this weekend, so let’s talk this through more on Monday. Generally, I agree that I’ll either stay out of the Channel or agree to your terms for entering there.",1
"If you decide to stay out of the channel, I have a deal that I like with England in the works. For that deal to go through, you'd have to agree to move Mao into Portugal to let England take Mao. Would you be amenable to that?",1
"(If this second offer is more to think about than a no-brainer, you can just mull it over and let me know monday)",1
"So, here is my concern with the England offer: If I’m taking Portugal, why do we want England in MAO? And why would he want to go to MAO? I’m not sure I understand that one. Can you explain?",1
"Well, when I initially proposed the deal I had forgotten that Portugal was promised to England. Then England agreed to it on the condition that you would confirm that move, so I figured E thought you would just move out of there next year? But now that I think about it, it’s probably worth asking England why they’d agree to that.",1
I’d prefer that you not tell England I am considering moving to the Channel. I don’t think he would like that.,1
I don’t really want to discuss this stuff with England at all.,1
"Well, England changed their mind about the plan I offered anyway. So, are you taking the channel?",1
"No, I’m not taking the Channel.",1
Okay was that a recent decision? Because like an hour ago France said they were supporting you into the channel,1
"Well, when I tell you what I plan to do, do you turn around and tell France? This makes me uncomfortable speaking with you.",1
I haven't spoken to France since then. I didn't realize you were giving the two of us different information on this particular subject. But I don't think I've revealed anything to them about what you plan to do. Mostly because you haven't told me.,1
"Well, I have been honest with both you and France. You told me that I need to promise you a set of things in order to take the Channel. I felt like it was more than I could be sure of doing, so I am not entering the Channel. I won’t go there without your permission.",0
I appreciate that. And I'll keep the remainder of this conversation between us unless I hear otherwise. Have you just recently made an agreement with England?,1
I heard as much but I want to verify the contents of that agreement with you,1
"Btw, France just said that they submitted the orders to support you into the channel.",1
"I don’t have an agreement with England, but he is asking me about my moves and trying to get my help.",1
"Okay--then England is lying to me, saying that you're helping support Eng-Brest.",1
"Ha! Yeah, fat chance.",0
...but did you lie to England about that? Or can I say to England that I don't think you'll actually provide that support?,1
What is Paris up to?,1
I suggest you just not tell England anything about my moves.,1
Do you want me to support England to Brest?,1
I guess I’m not sure what your goals are here.,1
"I just kind of feel like you’re grilling me with a lot of questions, but not telling me what you’re doing or what you want from me.",1
"*If* you support Eng-Brest, England has agreed to vacate denmark for me. If you don't, I won't get in the way of your channel thing. Any other questions?",1
"I have no sense of what you want or what your plan is, but I thought I'd been pretty clear: I want Denmark. I am reluctant to see you in the Channel if England remains powerful, but happy to see you there if they are weakened.",1
Can’t you just force Denmark?,1
Not without risking a swipe of Belgium,1
And why force when you don't have to,1
"Okay, I’ll support England to Brest. You take Denmark.",1
And you and I should be in position to take out England next year.,1
Splendid!,1
Glad everything worked out 😃,1
👍,1
Congratulations on retaking Denmark and getting two builds. You are playing really well right now. Respect.,1
"Congrats on having double-digit dots! I have some thoughts about taking out England, if you want to go full-stab this season...",1
I think I do! 🤫,1
What are you thinking?,1
"One option is to take the channel, another is to take Brest. Between you, me, and Picardy we can manage either, but it's a question of which takes priority. If we chose Brest, I could also take a stab at seizing Nth this season, then we could try for the channel in fall. Or we could do channel first, Brest second.",1
"Yeah, that is all along the lines of what I’m thinking. How demanding does France sound right now? Does he want to be the one who takes Brest?",1
Haven't asked. But in general not demanding.,1
"Good!

Still, I think we should show him some good faith by supporting him to Brest in Spring. We can decide in Fall whether it makes more sense for you to take it, but I think we want to keep France hungry.",0
"I would suggest something like this to ensure the English fleet is disbanded:
Pic - Bre
MAO - Channel
Par S Pic - Bre",0
And Spa - Gas to cut off that retreat.,1
"You can take the North Sea on the same move and set up a convoy to the English mainland. 

Checkmate.",1
"Okay, I like the plan! I've asked France if they're willing to move to Brest supported by me.",1
Aren't you concerned about England taking Mao? I'd sooner just have you pile on support into Bre so that Wes can support Mao holding,1
"That’s a good point, but the problem with that approach is that Brest is not guaranteed. If England cute MAO and supports with the Channel, the attack fails. I think we are better off ensuring that the Brest fleet is disbanded. If we disband that fleet and take North Sea, an English fleet in MAO really just spreads him out and allows you to take the island faster. It’s not like he can get Portugal or Spain.",1
"Okay, but that means I'd prefer to take Brest myself this Spring, if France is okay with it.",1
"I think that we should offer France Brest in Spring. That ensures that he is with us. Then, if conditions are right in the Fall, I can support you into Brest. But...England can offer France Belgium, and I think he is sure to take that if we’re not even offering him a center, right?",0
"Better to keep France feeling like we’re going to keep him in the game. If you need the build in Fall, it’s easy for me to support you there.",0
"I guess I’m just wondering from France’s perspective why they’d *want* to stay in the game. Isn’t it possible they’d rather move on with their life? That’s not rhetorical, I’m wondering what your perspective is as a veteran player",1
"Here is my take: If France just wanted to go down in a blaze of glory and say “eff you” to England, he would have kept Irish Sea. He kept Pic, which is next to his home center, and gives him a chance to negotiate with both you and England.",0
"I think that means he is motivated to keep trying. And if he believes he can get Brest, he could legitimately get back to his feet. I know that’s what I’d be trying to do in his position.",1
"As the poker saying goes: “a chip and a chair.” So long as you have one chip left, and you’re still in the tournament, you can always come back to win.",1
Thoughts?,1
I think that makes sense. Are you talking with England at all?,1
"I’m pretty wary of England right now. He asked me what I want to do, but I feel like he’s trying to get me to leave MAO open. That’s not terrible news, as it suggests that he won’t expect your move to North Sea.",0
"As long as he doesn’t move NAO to Norwegian, you’ve got a guaranteed supply center.",1
Well E'd have to be a right dolt not to retreat to NWG. And right now they're talking to me about supporting a move from Bre to Gas (the better for the two of us to stab you).,1
"What i mean is, there's a good chance that Mao is safe if I ""agree"" to that deal",1
Oh nevermind--they're not going to convoy into Brest. So actually this pretty much guarantees that Eng and Nao will try for Mao.,1
"Ahhhh, sneaky Devil! Thank you for letting me know.",0
I still like our plan.,0
I need to run for a bit. I’ll be around in a few hours.,0
"I think that knowing this, you should do as I suggest and not poke Eng. Just hold and let Wes support. I am 94% sure I can trust England to do as they say on this one.",1
Okay. Should I support Pic to Bre?,0
yes please. It'll do us good with France too if we both support.,1
👍,1
"Actually, you should use Mao to support Spa-Gas, since we know that Brest is moving there. It will be beneficial to have you there if we decide to oust France from Bre in fall",1
Consider it done.,0
"Hmmmm, heading anything from England?",1
"I’d love to talk if you’re there. I’m getting the impression that England may actually be moving on you, and I think I have a good counter, but I also still think we should support the attack on Brest and take North Sea.",0
I definitely think you should keep your moves the same.,1
Nice! Get’em! He WAS moving on you. But we should be able to take about 3 off of him now. Very nice turn.,0
"Sorry; I was asleep by 9 last night 😂  

why the move to Nao? Wouldn't IRI be the more anti-England choice?

With the move to Picardy and assuming a retreat to SKA, it looks like England has me pretty powerless this turn.",1
"So do you, it seems, if you have some kind of deal with Russia about Munich.",1
"Good morning. 

Just responding to your messages above. I think NAO and Irish are equally anti-English. They both give me a clear lane to attack Liverpool. I wasn’t sure if either one would be left open, but I took a gamble and it paid off.",1
"Re your move this turn, I don’t think you’re powerless. You should get a build I think and if not, you should be in position to smash England.",0
"I don’t have a deal regarding Munich, Germany. Frankly, I thought you would be a bit more joyful towards me. By attacking England, I have committed completely to working as your partner.",0
"I suppose you're right. Initially I was thinking IRI also gives you channel access, but NWG access may be just as useful. 

Well when you control half a continent (and even more when you consider your influence over me, austria, and who knows who else!), there's no such thing as complete commitment. I'm not so naive as to think your allegiance with me is going to last beyond its usefulness, and with two fleets on the British isle that time is fast approaching. To be clear, I'm still giving you the truth and I still want to work with you. But you should really stop acting surprised when I'm slightly paranoid that a soon-to-be-dozen-dot-holder is gearing up to stab me",1
"Well, I dunno, it sounds like I should stab you. Is that what you’re trying to tell me?

I like you. I like how hard you’ve worked in this game to rebound from a difficult start. I like that you e told me the truth, even when the news was bad. I like that you tell me when you don’t trust me. I have literally never told you a lie in this game, and I don’t intend to start now. Last turn I burned my bridge with England beyond repair. If you don’t want to work with me now, that’s really disappointing.",0
"like I said, I *do* want to work with you. However, remember that thing I said about general expectations and being warned when they're broken? Tyrolia is one of them and I think you knew that. And England *also* told me they've never told me a lie; I'm starting to think that's Diplomacy-speak for ""when convenient, I've used careful wording and half-truths to deceive you even when everything I said was technically true"". 

It would help me to know that you see me being a benefit to you beyond taking out England. A natural next move for us would be to take out russia, and in that arena I have a positional advantage over you. Especially if I get two builds this turn, I'll be able to sneak behind the troops in bohemia/galicia and help you break through.",1
